Time,Angle,X,Y
8.4813,12.5397,0.1740,-1.3470
8.4830,12.5397,-0.4760,-0.7680
8.5528,12.5397,-3.6670,-6.1730
8.6184,12.5397,-1.4870,3.0260
8.6200,12.5397,-1.6110,0.5370
8.6225,12.5397,0.0000,0.0000
8.6260,12.5397,-0.8070,0.5270
8.6295,12.5397,0.4560,0.2330
8.7033,12.5397,1.9800,1.1180
8.7696,12.5397,-2.5220,0.8040
8.7721,12.5397,0.3910,2.0430
8.7743,12.5397,0.0000,0.0000
8.7778,12.5397,-0.4560,-0.1800
8.7850,12.5397,-0.7280,-0.4020
8.8523,12.5397,-3.7720,1.5200
8.9191,12.5397,-1.5620,-0.0280
8.9221,12.5397,-0.7720,-0.8280
8.9252,12.5397,0.4410,1.6830
8.9289,12.5397,0.4110,-1.9590
8.9336,12.5397,1.0260,-3.9090
9.0068,12.5397,0.5690,-1.8040
9.0712,12.5397,0.0000,0.0000
9.0739,12.5397,0.0000,0.0000
9.0774,12.5397,-0.7800,1.0730
9.2376,12.5397,0.0000,0.0000
9.2440,12.5397,0.0000,0.0000
9.2471,12.5397,1.2600,-0.9480
9.2515,12.5397,-1.1530,0.1130
9.2543,12.5397,-2.0670,0.9110
9.2574,12.5397,-0.8700,-0.1090
9.3890,12.5397,-0.1960,1.3570
9.3928,12.5397,0.0000,0.0000
9.3959,12.5397,0.0000,0.0000
9.3977,12.5397,0.0000,0.0000
9.4002,12.5397,0.0000,0.0000
9.4028,12.5397,0.0000,0.0000
9.4047,12.5397,0.0000,0.0000
9.5417,12.5397,0.0000,0.0000
9.5464,12.5397,0.0000,0.0000
9.5484,12.5397,0.0000,0.0000
9.5520,12.5397,0.8870,-0.3770
9.5540,12.5397,0.2160,-0.0990
9.5558,12.5397,0.4320,-1.6320
9.5593,12.5397,0.1190,-1.2090
9.5680,12.5397,0.0000,0.0000
9.5920,12.5397,0.0000,0.0000
9.6918,12.5397,0.3800,-0.3020
9.6956,12.5397,-0.7130,0.2440
9.6983,12.5397,-1.1300,-1.2370
9.7014,12.5397,-6.9500,-5.7500
9.7036,12.5397,-2.2170,0.9420
9.7054,12.5397,19.0000,-0.6840
9.7086,12.5397,0.0000,0.0000
9.7275,12.5397,0.0000,0.0000
9.8429,12.5397,0.2100,-0.1410
9.8462,12.5397,0.0000,0.0000
9.8488,12.5397,-3.0000,-6.0830
9.8525,12.5397,0.3950,-0.8310
9.8547,12.5397,-1.4620,-4.3850
9.8644,12.5397,0.3940,1.4470
9.9992,12.5397,-3.9350,-1.4940
10.0042,12.5397,-1.3170,0.7270
10.0080,12.5397,0.0000,0.0000
10.0122,12.5397,-0.2870,-0.2080
10.0152,12.5397,0.5580,-2.1170
10.0980,12.5397,-0.8170,-1.0800
10.1002,12.5397,0.0000,0.0000
10.1611,12.5397,-1.4000,-0.8220
10.1644,12.5397,0.0000,0.0000
10.1668,12.5397,0.1650,0.8600
10.1706,12.5397,0.5230,1.8040
10.1740,12.5397,0.0000,0.0000
10.1968,12.5397,0.0000,0.0000
10.3140,12.5397,0.0000,0.0000
10.3172,12.5397,0.0000,0.0000
10.3212,12.5397,0.0000,0.0000
10.3248,12.5397,0.0000,0.0000
10.3636,12.5397,0.0000,0.0000
10.4003,12.5397,-0.8320,-0.1370
10.4625,12.5397,0.6010,-0.3140
10.4672,12.5397,0.0000,0.0000
10.4711,12.5397,-4.5350,2.5350
10.4749,12.5397,0.0000,0.0000
10.5457,12.5397,-0.1700,-0.0100
10.5495,12.5397,0.2790,-0.6640
10.6120,12.5397,0.3030,0.1010
10.6165,12.5397,0.0000,0.0000
10.6471,12.5397,0.0000,0.0000
10.7652,12.5397,0.0000,0.0000
10.7672,12.5397,-0.2760,-1.1410
10.7715,12.5397,-1.7540,0.2910
10.7756,12.5397,-1.9540,0.9700
10.8634,12.5397,0.0000,0.0000
10.9270,12.5397,-0.9010,-1.5440
10.9288,12.5397,0.0000,0.0000
11.0734,12.5397,-0.9620,-0.4910
11.0772,12.5397,-0.5190,-0.0050
11.0797,12.5397,0.0000,0.0000
11.0834,12.5397,-1.5910,-0.8720
11.0863,12.5397,0.2980,2.4970
11.0881,12.5397,-0.4450,0.3220
11.2233,12.5397,0.0000,0.0000
11.2277,12.5397,0.0000,0.0000
11.2302,12.5397,-4.0340,8.3790
11.2343,12.5397,0.0000,0.0000
11.2381,12.5397,0.0000,0.0000
11.4275,12.5397,-0.3190,-0.6890
11.4311,12.5397,10.7780,-14.5560
11.4380,12.5397,0.0000,0.0000
11.4402,12.5397,-0.7990,-0.9370
11.4438,12.5397,0.0000,0.0000
11.4473,12.5397,0.0000,0.0000
11.4536,12.5397,-1.5320,-0.8330
11.5099,12.5397,-0.1100,-0.4150
11.5736,12.5397,-2.1760,-1.3920
11.5778,12.5397,0.0000,0.0000
11.5804,12.5397,-4.3230,0.2580
11.5845,12.5397,-0.8200,0.0210
11.5877,12.5397,-1.1580,0.1580
11.5898,12.5397,0.0000,0.0000
11.5931,12.5397,0.0000,0.0000
11.6563,12.5397,1.2020,-0.7170
11.6596,12.5397,0.1050,-0.4290
11.7205,12.5397,0.0000,0.0000
11.7251,12.5397,0.1970,1.2520
11.7286,12.5397,0.0000,0.0000
11.7310,12.5397,-2.3680,-5.0000
11.7355,12.5397,-0.1490,-2.3480
11.7386,12.5397,-0.0860,-0.0690
11.7539,12.5397,0.2190,0.1830
11.7693,12.5397,0.0000,0.0000
11.8447,12.5397,-0.9830,0.0290
11.8490,12.5397,0.0000,0.0000
11.8512,12.5397,-1.4580,-0.3020
11.8534,12.5397,-0.7530,0.7370
11.8566,12.5397,-1.1260,-0.8060
11.8666,12.5397,0.0000,0.0000
11.9428,12.5397,0.0000,0.0000
11.9793,12.5397,0.7490,-0.8480
11.9814,12.5397,0.0000,0.0000
11.9849,12.5397,-1.3730,-1.9380
11.9883,12.5397,-1.0100,-1.2040
11.9901,12.5397,0.0000,0.0000
12.0717,12.5397,0.0000,0.0000
12.1028,12.5397,-0.1680,-0.8830
12.1049,12.5397,0.0000,0.0000
12.1069,12.5397,0.0120,-0.7060
12.1098,12.5397,-0.7530,0.1230
12.1193,12.5397,-0.1810,0.0360
12.1445,12.5397,-1.1180,-1.8000
12.2097,12.5397,0.0000,0.0000
12.2416,12.5397,0.0000,0.0000
12.2451,12.5397,-2.6360,-7.0000
12.2491,12.5397,0.3180,-0.8990
12.2809,12.5397,-0.3400,-2.6190
12.3725,12.5397,0.0000,0.0000
12.3767,12.5397,-0.0080,-0.7500
12.3801,12.5397,0.8140,-0.2990
12.3948,12.5397,0.0000,0.0000
12.4811,12.5397,-1.7460,-0.3800
12.5506,12.5397,0.0000,0.0000
12.5529,12.5397,0.1860,-0.6650
12.5550,12.5397,0.9680,-0.2770
12.5582,12.5397,0.5260,0.4740
12.5607,12.5397,-0.3390,-0.3970
12.5952,12.5397,-0.7120,-0.2140
12.6315,12.5397,-16.2730,-18.8180
12.6941,12.5397,-0.7190,-0.8070
12.6988,12.5397,0.6070,-0.8250
12.7018,12.5397,0.0000,0.0000
12.7038,12.5397,-1.0350,-0.6190
12.7067,12.5397,-0.0150,-0.6160
12.7101,12.5397,-0.4290,-0.5800
12.7118,12.5397,-1.4500,-0.4400
12.8463,12.5397,-0.4320,-1.8860
12.8512,12.5397,-0.0330,-0.1410
12.8535,12.5397,-0.5450,0.2360
12.8555,12.5397,-0.1850,-0.6110
12.8577,12.5397,-0.6880,-0.9790
12.8664,12.5397,-0.1870,-1.9420
12.9032,12.5397,-0.3680,-0.9160
13.0047,12.5397,0.0000,0.0000
13.0090,12.5397,-0.9300,-0.5130
13.0127,12.5397,-5.4210,7.6320
13.0163,12.5397,-2.4750,-1.2300
13.0204,12.5397,0.0000,0.0000
13.0426,12.5397,-0.6000,-2.1480
13.1054,12.5397,0.6220,-1.1110
13.1747,12.5397,0.0000,0.0000
13.1889,12.5397,6.2760,-3.4480
13.2578,12.5397,-0.7690,-0.1540
13.3225,12.5397,0.0000,0.0000
13.3255,12.5397,-1.4620,0.0250
13.3294,12.5397,0.0000,0.0000
13.4086,12.5397,0.0000,0.0000
13.4727,12.5397,0.6240,-1.0510
13.4757,12.5397,0.0000,0.0000
13.4802,12.5397,0.0000,0.0000
13.4829,12.5397,-1.6450,-2.8490
13.4866,12.5397,-2.6350,0.2490
13.5154,12.5397,0.0000,0.0000
13.5839,12.5397,-0.6090,0.0040
13.5866,12.5397,2.7690,0.7690
13.6508,12.5397,0.0000,0.0000
13.6534,12.5397,0.0000,0.0000
